Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
77	170.5153	170.17857	 	122.39313	162.51527	 	119.16879	62.378983	*	136.3983	36.73164	*	169.575	21.158333	*
78	171.17308	167.02403	 	123.05556	160.3963	 	114.85152	61.263638	*	130.6854	35.185394	*	163.50833	20.625	*
79	171.31642	163.7512	 	123.169174	158.22932	 	110.63253	61.590363	*	125.371506	35.209496	*	157.72034	20.542374	*
80	171.56667	160.79048	 	122.969696	155.90152	 	106.541916	62.212574	*	119.941986	35.378452	*	152.05556	20.482906	*
81	171.58372	158.2721	 	123.128784	153.40152	 	102.57976	62.947853	*	114.94693	35.6676	*	146.41304	20.482609	*
82	171.83636	155.98181	 	123.18889	151.12222	 	99.29141	63.978527	*	109.86264	36.29121	*	140.56956	20.42174	*
83	172.16667	154.33545	 	123.408394	148.85115	 	96.333336	65.46429	*	105.2	37.205555	*	134.99123	20.482456	*
84	172.55284	152.92276	 	123.66418	146.86568	 	93.60909	66.954544	*	100.67112	38.131016	*	129.32906	20.576923	*
85	172.98996	151.95381	 	124.09712	145.54317	 	91.3869	68.61905	*	96.31967	39.215847	*	123.88983	20.720339	*
86	173.61328	151.61328	 	124.85294	144.92647	 	89.27193	70.6579	*	92.21978	41.032967	*	118.291306	20.960869	*
87	174.42664	151.7471	 	125.44118	145.08089	 	87.57514	72.89307	*	88.33978	42.914364	*	112.995575	21.030973	*
88	175.44531	152.26172	 	126.5	145.94118	 	85.800575	75.28035	*	84.58152	45.02174	*	107.650444	21.482302	*
89	176.59541	153.12596	 	127.572464	147.0145	 	84.33721	77.49419	*	81.11702	47.101063	*	102.19026	21.72124	*
90	177.96565	154.14885	 	128.58089	148.40442	 	83.045975	79.5	*	78.097824	49.125	*	97.07143	21.919643	*
91	179.24812	155.36465	 	129.65442	149.90442	 	81.96821	81.476875	*	74.95109	51.032608	*	91.67796	22.33051	*
92	180.50378	156.71213	 	130.75185	151.67036	 	80.82336	83.01497	*	72.06906	52.638123	*	86.5	22.286325	*
93	181.68115	158.28261	 	131.83098	153.35916	 	79.66766	83.967064	*	69.02459	53.915302	*	81.00862	22.586206	*
94	182.75725	159.67392	 	132.79497	155.3777	 	78.53636	84.59091	*	66.09776	54.85754	*	75.68261	22.786957	*
95	183.9205	161.35512	 	133.85767	157.74088	 	77.9875	85.09375	*	63.375706	55.833332	*	70.18104	22.801723	*
96	185.2	162.61429	 	135.06116	159.98921	 	77.68239	85.08491	*	60.95	56.544445	*	64.69835	22.863636	*
97	186.72145	163.99828	 	136.56667	162.28519	 	77.89634	84.89024	*	59.064972	57.466103	*	59.032787	23.303278	*
98	188.32518	164.75175	 	138.20677	164.32707	 	78.49379	85.45652	 	58.215977	59.22781	*	54.22131	24.450819	*
99	190.3097	164.83565	 	140.23077	165.66154	 	79.565475	89.15476	 	59.916218	62.55946	*	51.269913	26.482302	*
100	192.3838	163.98944	 	142.35715	166.31203	 	81.13905	95.31065	 	64.878784	67.166664	*	50.714287	31.510204	*
101	194.38153	162.71254	 	144.4624	166.47745	 	84.76786	102.71429	 	71.097084	73.87379	*	55.16055	39.766056	*
102	196.2234	161.40425	 	146.43939	166.59848	 	89.343376	109.85542	 	77.675	80.795	*	62.590908	46.345455	*
103	197.89781	160.67154	 	148.17938	166.44656	 	94.37116	115.94785	 	85.20202	86.48485	*	71.805786	51.863636	*
104	199.36142	160.12921	 	149.36465	166.13158	 	98.67532	119.844154	 	93.06684	90.39305	*	82.18696	55.586956	*
105	200.59259	159.73703	 	150.57692	165.85385	 	101.96	121.113335	*	100.38398	92.28453	*	94.209404	57.773506	*
106	201.71072	159.2203	 	151.70312	165.42969	 	104.35135	120.22973	*	106.65341	92.44886	*	105.71138	58.345528	 
107	202.64113	159.18549	 	152.7	165.16924	 	106.25694	116.888885	*	112.68644	90.63559	*	116.04032	57.39516	 
108	203.33614	159.79411	 	153.46094	165.00781	 	108.88461	112.52098	*	118.12637	87.82417	*	126.14567	55.830708	 
109	204.16228	160.85965	 	154.13567	164.84108	 	112.186134	107.58759	*	124.560776	84.588394	*	137.2111	54.233334	 
110	205.09276	162.4638	 	154.87209	164.99612	 	116.44074	102.58148	*	131.74858	81.72034	*	148.65	53.65	 
111	206.11032	164.4061	 	155.756	165.604	 	121.31203	98.07143	*	139.20589	79.24117	*	160.16429	53.75	 
112	207.1699	166.75243	 	156.7258	166.55646	 	127.014084	94.823944	*	146.67262	77.3631	*	171.02174	54.427536	 
113	208.27272	169.41919	 	157.90651	167.687	 	133.02348	92.01678	*	154.03206	75.833336	*	180.98837	54.802326	 
114	209.53609	171.97423	 	159.07259	169.16936	 	139.56944	89.375	*	161.30504	73.73899	*	190.35715	54.3797	 
115	211.07608	174.54347	 	160.51639	170.68852	 	146.53496	86.37412	*	169.05	71.18125	*	199.49254	52.768658	 
116	212.44595	176.7973	 	161.98781	171.78455	 	153.76897	83.56896	*	176.90506	68.01266	*	208.39148	50.37597	 
117	214.12637	178.45055	 	163.67741	172.65323	 	160.55518	80.748276	*	184.08974	64.48718	*	216.59023	47.61278	 
118	215.74599	179.45721	 	165.65874	172.77777	 	165.9702	78.31457	*	189.37097	60.558064	*	223.37302	44.365078	 
119	217.63298	179.2234	 	168.01909	172.11069	 	170.14084	75.79578	*	192.70755	56.14151	*	226.89024	39.45935	 
120	219.64136	177.92932	 	170.4084	170.79771	 	172.125	73.06944	*	193.41072	51.27381	*	226.41057	32.46748	 
121	221.37628	175.52061	 	172.4248	168.39473	 	170.96207	69.96896	*	189.95143	46.11714	*	221.83333	27.552631	 
122	222.6393	172.21144	 	174.35925	165.3963	 	166.0625	68.28125	*	182.39944	42.589386	*	214.7314	26.673553	*
123	223.7304	168.5049	 	175.55185	162.48518	 	162.07692	67.35897	*	176.5618	40.988766	*	208.40434	26.186956	*
